poll,start,end,name,points
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,gabbard,1
CNNCNN,2019-05-28,2019-05-31,gabbard,1
Harvard-HarrisHarris,2019-05-29,2019-05-30,gabbard,0
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,gabbard,1
MonmouthMonmouth,2019-05-16,2019-05-20,gabbard,1
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,gabbard,0
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,gabbard,1
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,gabbard,1
FOX NewsFOX News,2019-05-11,2019-05-14,gabbard,1
EmersonEmerson,2019-05-10,2019-05-13,gabbard,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,gabbard,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,gabbard,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,gabbard,1
Harvard-HarrisHarris,2019-04-30,2019-05-01,gabbard,0
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,gabbard,0
CNNCNN,2019-04-25,2019-04-28,gabbard,2
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,gabbard,1
MonmouthMonmouth,2019-04-11,2019-04-15,gabbard,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,gabbard,1
EmersonEmerson,2019-04-11,2019-04-14,gabbard,1
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,gabbard,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,gabbard,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,gabbard,0
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,gabbard,1
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,gabbard,0
RCP Average,2019-06-28,2019-07-08,castro,1.1
EmersonEmerson,2019-07-06,2019-07-08,castro,0
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,castro,1
Economist/YouGovEconomist,2019-06-30,2019-07-02,castro,1
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,castro,3
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,castro,1
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,castro,1
CNNCNN,2019-06-28,2019-06-30,castro,1
Harvard-HarrisHarris,2019-06-26,2019-06-29,castro,1
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,castro,1
Economist/YouGovEconomist,2019-06-22,2019-06-25,castro,1
EmersonEmerson,2019-06-21,2019-06-24,castro,0
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,castro,1
Economist/YouGovEconomist,2019-06-16,2019-06-18,castro,1
MonmouthMonmouth,2019-06-12,2019-06-17,castro,0
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,castro,2
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,castro,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,castro,1
FOX NewsFOX News,2019-06-09,2019-06-12,castro,1
Economist/YouGovEconomist,2019-06-09,2019-06-11,castro,1
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,castro,0
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,castro,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,castro,0
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,castro,0
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,castro,1
CNNCNN,2019-05-28,2019-05-31,castro,2
Harvard-HarrisHarris,2019-05-29,2019-05-30,castro,1
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,castro,1
MonmouthMonmouth,2019-05-16,2019-05-20,castro,1
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,castro,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,castro,1
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,castro,1
FOX NewsFOX News,2019-05-11,2019-05-14,castro,2
EmersonEmerson,2019-05-10,2019-05-13,castro,2
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,castro,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,castro,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,castro,1
Harvard-HarrisHarris,2019-04-30,2019-05-01,castro,0
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,castro,1
CNNCNN,2019-04-25,2019-04-28,castro,1
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,castro,1
MonmouthMonmouth,2019-04-11,2019-04-15,castro,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,castro,1
EmersonEmerson,2019-04-11,2019-04-14,castro,3
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,castro,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,castro,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,castro,1
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,castro,1
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,castro,1
RCP Average,2019-06-28,2019-07-08,klobuchar,1
EmersonEmerson,2019-07-06,2019-07-08,klobuchar,1
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,klobuchar,1
Economist/YouGovEconomist,2019-06-30,2019-07-02,klobuchar,0
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,klobuchar,2
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,klobuchar,1
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,klobuchar,0
CNNCNN,2019-06-28,2019-06-30,klobuchar,2
Harvard-HarrisHarris,2019-06-26,2019-06-29,klobuchar,1
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,klobuchar,1
Economist/YouGovEconomist,2019-06-22,2019-06-25,klobuchar,0
EmersonEmerson,2019-06-21,2019-06-24,klobuchar,1
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,klobuchar,1
Economist/YouGovEconomist,2019-06-16,2019-06-18,klobuchar,1
MonmouthMonmouth,2019-06-12,2019-06-17,klobuchar,1
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,klobuchar,1
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,klobuchar,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,klobuchar,0
FOX NewsFOX News,2019-06-09,2019-06-12,klobuchar,2
Economist/YouGovEconomist,2019-06-09,2019-06-11,klobuchar,0
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,klobuchar,1
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,klobuchar,2
Economist/YouGovEconomist,2019-06-02,2019-06-04,klobuchar,1
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,klobuchar,1
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,klobuchar,1
CNNCNN,2019-05-28,2019-05-31,klobuchar,2
Harvard-HarrisHarris,2019-05-29,2019-05-30,klobuchar,0
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,klobuchar,1
MonmouthMonmouth,2019-05-16,2019-05-20,klobuchar,3
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,klobuchar,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,klobuchar,2
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,klobuchar,1
FOX NewsFOX News,2019-05-11,2019-05-14,klobuchar,2
EmersonEmerson,2019-05-10,2019-05-13,klobuchar,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,klobuchar,2
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,klobuchar,0
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,klobuchar,2
Harvard-HarrisHarris,2019-04-30,2019-05-01,klobuchar,2
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,klobuchar,1
CNNCNN,2019-04-25,2019-04-28,klobuchar,2
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,klobuchar,2
MonmouthMonmouth,2019-04-11,2019-04-15,klobuchar,1
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,klobuchar,2
EmersonEmerson,2019-04-11,2019-04-14,klobuchar,1
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,klobuchar,2
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,klobuchar,2
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,klobuchar,2
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,klobuchar,2
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,klobuchar,2
RCP Average,2019-06-28,2019-07-08,bullock,0.6
EmersonEmerson,2019-07-06,2019-07-08,bullock,1
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,bullock,1
Economist/YouGovEconomist,2019-06-30,2019-07-02,bullock,1
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,bullock,0
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,bullock,0
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,bullock,1
CNNCNN,2019-06-28,2019-06-30,bullock,0
Harvard-HarrisHarris,2019-06-26,2019-06-29,bullock,--
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,bullock,1
Economist/YouGovEconomist,2019-06-22,2019-06-25,bullock,1
EmersonEmerson,2019-06-21,2019-06-24,bullock,0
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,bullock,1
Economist/YouGovEconomist,2019-06-16,2019-06-18,bullock,1
MonmouthMonmouth,2019-06-12,2019-06-17,bullock,0
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,bullock,1
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,bullock,0
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,bullock,1
FOX NewsFOX News,2019-06-09,2019-06-12,bullock,0
Economist/YouGovEconomist,2019-06-09,2019-06-11,bullock,0
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,bullock,0
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,bullock,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,bullock,1
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,bullock,0
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,bullock,1
CNNCNN,2019-05-28,2019-05-31,bullock,0
Harvard-HarrisHarris,2019-05-29,2019-05-30,bullock,--
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,bullock,1
MonmouthMonmouth,2019-05-16,2019-05-20,bullock,0
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,bullock,0
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,bullock,0
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,bullock,1
FOX NewsFOX News,2019-05-11,2019-05-14,bullock,0
EmersonEmerson,2019-05-10,2019-05-13,bullock,--
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,bullock,0
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,bullock,--
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,bullock,1
Harvard-HarrisHarris,2019-04-30,2019-05-01,bullock,--
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,bullock,--
CNNCNN,2019-04-25,2019-04-28,bullock,0
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,bullock,1
MonmouthMonmouth,2019-04-11,2019-04-15,bullock,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,bullock,0
EmersonEmerson,2019-04-11,2019-04-14,bullock,--
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,bullock,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,bullock,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,bullock,--
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,bullock,1
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,bullock,--
RCP Average,2019-06-28,2019-07-08,bennet,0.6
EmersonEmerson,2019-07-06,2019-07-08,bennet,1
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,bennet,0
Economist/YouGovEconomist,2019-06-30,2019-07-02,bennet,1
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,bennet,1
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,bennet,0
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,bennet,1
CNNCNN,2019-06-28,2019-06-30,bennet,0
Harvard-HarrisHarris,2019-06-26,2019-06-29,bennet,--
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,bennet,0
Economist/YouGovEconomist,2019-06-22,2019-06-25,bennet,1
EmersonEmerson,2019-06-21,2019-06-24,bennet,0
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,bennet,1
Economist/YouGovEconomist,2019-06-16,2019-06-18,bennet,1
MonmouthMonmouth,2019-06-12,2019-06-17,bennet,0
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,bennet,1
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,bennet,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,bennet,0
FOX NewsFOX News,2019-06-09,2019-06-12,bennet,0
Economist/YouGovEconomist,2019-06-09,2019-06-11,bennet,1
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,bennet,0
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,bennet,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,bennet,0
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,bennet,1
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,bennet,1
CNNCNN,2019-05-28,2019-05-31,bennet,1
Harvard-HarrisHarris,2019-05-29,2019-05-30,bennet,--
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,bennet,1
MonmouthMonmouth,2019-05-16,2019-05-20,bennet,0
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,bennet,0
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,bennet,0
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,bennet,1
FOX NewsFOX News,2019-05-11,2019-05-14,bennet,0
EmersonEmerson,2019-05-10,2019-05-13,bennet,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,bennet,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,bennet,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,bennet,--
Harvard-HarrisHarris,2019-04-30,2019-05-01,bennet,--
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,bennet,--
CNNCNN,2019-04-25,2019-04-28,bennet,0
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,bennet,--
MonmouthMonmouth,2019-04-11,2019-04-15,bennet,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,bennet,--
EmersonEmerson,2019-04-11,2019-04-14,bennet,--
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,bennet,--
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,bennet,--
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,bennet,--
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,bennet,--
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,bennet,--
RCP Average,2019-06-28,2019-07-08,inslee,0.4
EmersonEmerson,2019-07-06,2019-07-08,inslee,1
Politico/Morning ConsultPolitico,2019-07-01,2019-07-07,inslee,0
Economist/YouGovEconomist,2019-06-30,2019-07-02,inslee,1
ABC News/Wash PostABC/WP,2019-06-28,2019-07-01,inslee,1
QuinnipiacQuinnipiac,2019-06-28,2019-07-01,inslee,0
The Hill/HarrisXThe Hill,2019-06-29,2019-06-30,inslee,0
CNNCNN,2019-06-28,2019-06-30,inslee,0
Harvard-HarrisHarris,2019-06-26,2019-06-29,inslee,0
Politico/Morning ConsultPolitico,2019-06-27,2019-06-28,inslee,0
Economist/YouGovEconomist,2019-06-22,2019-06-25,inslee,0
EmersonEmerson,2019-06-21,2019-06-24,inslee,1
Politico/Morning ConsultPolitico,2019-06-17,2019-06-23,inslee,1
Economist/YouGovEconomist,2019-06-16,2019-06-18,inslee,1
MonmouthMonmouth,2019-06-12,2019-06-17,inslee,1
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,inslee,0
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,inslee,0
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,inslee,0
FOX NewsFOX News,2019-06-09,2019-06-12,inslee,0
Economist/YouGovEconomist,2019-06-09,2019-06-11,inslee,1
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,inslee,0
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,inslee,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,inslee,0
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,inslee,0
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,inslee,1
CNNCNN,2019-05-28,2019-05-31,inslee,1
Harvard-HarrisHarris,2019-05-29,2019-05-30,inslee,1
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,inslee,0
MonmouthMonmouth,2019-05-16,2019-05-20,inslee,0
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,inslee,0
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,inslee,0
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,inslee,0
FOX NewsFOX News,2019-05-11,2019-05-14,inslee,1
EmersonEmerson,2019-05-10,2019-05-13,inslee,0
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,inslee,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,inslee,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,inslee,0
Harvard-HarrisHarris,2019-04-30,2019-05-01,inslee,0
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,inslee,1
CNNCNN,2019-04-25,2019-04-28,inslee,1
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,inslee,1
MonmouthMonmouth,2019-04-11,2019-04-15,inslee,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,inslee,1
EmersonEmerson,2019-04-11,2019-04-14,inslee,0
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,inslee,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,inslee,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,inslee,--
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,inslee,1
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,inslee,0
